Country,Amount,Boxes_Shipped,Revenue_Per_Box
Canada,7897.13,358,22.06
UK,16376.88,449,36.47
India,5599.68,264,21.21
New Zealand,2966.47,144,20.6
UK,6828.68,484,14.11
UK,2555.95,192,13.31
New Zealand,832.92,19,43.84
New Zealand,997.96,36,27.72
New Zealand,7754.36,466,16.64
India,5507.19,176,31.29
Australia,1119.66,87,12.87
USA,6853.59,384,17.85
USA,12147.98,254,47.83
New Zealand,923.46,79,11.69
Canada,442.07,24,18.42
Canada,3900.37,83,46.99
New Zealand,801.63,25,32.07
India,10101.78,251,40.25
Canada,6600.15,417,15.83
USA,5302.98,258,20.55
UK,6310.09,257,24.55
Canada,2369.18,211,11.23
UK,16418.97,358,45.86
New Zealand,10774.83,226,47.68
Australia,5958.48,162,36.78
USA,1194.96,74,16.15
Australia,314.68,18,17.48
Australia,1442.65,91,15.85
USA,2810.34,78,36.03
UK,1394.62,57,24.47
Australia,8143.6,213,38.23
UK,12885.94,340,37.9
Canada,16223.13,362,44.82
UK,8330.47,217,38.39
New Zealand,5384.2,290,18.57
India,19594.27,450,43.54
New Zealand,12213.24,266,45.91
UK,4242.56,357,11.88
Australia,13379.16,498,26.87
Australia,9353.99,246,38.02
New Zealand,5032.73,147,34.24
UK,3041.08,103,29.53
Canada,3258.73,150,21.72
USA,10452.26,242,43.19
USA,8642.86,298,29.0
India,2523.86,102,24.74
Canada,11599.9,324,35.8
New Zealand,15606.61,331,47.15
New Zealand,9583.51,312,30.72
New Zealand,10192.85,373,27.33
USA,21701.44,483,44.93
India,6496.58,366,17.75
New Zealand,16383.31,438,37.4
New Zealand,15834.45,361,43.86
UK,7501.02,489,15.34
UK,922.43,29,31.81
India,6141.45,213,28.83
New Zealand,1745.79,156,11.19
New Zealand,7268.2,198,36.71
UK,424.38,30,14.15
New Zealand,10711.79,331,32.36
USA,8154.9,248,32.88
New Zealand,5132.41,454,11.3
India,6538.2,264,24.77
USA,13625.75,406,33.56
Australia,3344.35,244,13.71
India,11456.29,325,35.25
India,8946.01,434,20.61
Australia,15120.74,360,42.0
Canada,9372.51,274,34.21
UK,4531.42,107,42.35
USA,16283.5,456,35.71
Canada,10108.84,402,25.15
UK,3801.03,202,18.82
USA,1308.08,51,25.65
Canada,13195.0,285,46.3
Australia,5223.33,152,34.36
Canada,6102.47,146,41.8
Australia,8416.43,237,35.51
Canada,8215.87,334,24.6
Canada,6936.38,322,21.54
New Zealand,2422.62,180,13.46
USA,17090.34,366,46.69
Canada,10497.39,324,32.4
UK,569.78,14,40.7
UK,4103.17,124,33.09
Australia,891.11,73,12.21
UK,14127.27,465,30.38
USA,5150.27,218,23.63
USA,146.7,13,11.28
New Zealand,3812.92,118,32.31
USA,9450.04,218,43.35
UK,6457.54,293,22.04
UK,7925.54,309,25.65
USA,16861.45,385,43.8
New Zealand,1650.87,72,22.93
Australia,19861.82,424,46.84
Canada,10647.12,234,45.5
Australia,1564.91,49,31.94
India,2126.3,89,23.89
India,2893.74,204,14.18
Australia,13434.96,283,47.47
India,8273.51,169,48.96
UK,4063.64,149,27.27
UK,6650.47,471,14.12
USA,4463.32,295,15.13
USA,16996.07,471,36.09
UK,4768.41,183,26.06
Australia,18046.13,401,45.0
USA,868.92,46,18.89
Australia,4759.75,96,49.58
USA,19576.41,402,48.7
USA,4824.94,235,20.53
Canada,5555.52,150,37.04
USA,6004.2,126,47.65
USA,12369.81,456,27.13
UK,861.89,29,29.72
Australia,6048.32,360,16.8
India,15051.5,418,36.01
UK,756.72,24,31.53
Canada,534.64,22,24.3
Canada,12424.63,360,34.51
India,15136.25,354,42.76
UK,580.35,31,18.72
India,5804.87,119,48.78
New Zealand,23152.04,487,47.54
Canada,6174.38,232,26.61
India,16619.54,425,39.1
New Zealand,3214.37,161,19.97
Australia,16037.03,475,33.76
USA,6455.88,299,21.59
New Zealand,20659.54,478,43.22
Canada,19030.11,434,43.85
India,5042.61,140,36.02
UK,15274.46,350,43.64
USA,13934.58,498,27.98
Australia,858.68,73,11.76
India,10382.3,390,26.62
USA,7825.06,499,15.68
Canada,329.0,16,20.56
Australia,7014.04,191,36.72
India,9390.28,433,21.69
New Zealand,3368.14,279,12.07
Australia,2200.4,152,14.48
New Zealand,381.6,23,16.59
USA,16452.13,440,37.39
India,7364.22,306,24.07
USA,11031.64,300,36.77
India,715.01,37,19.32
Canada,5699.19,197,28.93
India,7524.98,189,39.81
Australia,10002.88,253,39.54
New Zealand,3812.45,85,44.85
Australia,6717.5,354,18.98
Australia,8326.18,167,49.86
New Zealand,5177.5,120,43.15
India,12188.95,362,33.67
India,1225.41,80,15.32
UK,16191.56,422,38.37
New Zealand,10095.38,364,27.73
USA,8901.98,335,26.57
India,1761.2,138,12.76
UK,15189.5,308,49.32
USA,7077.02,189,37.44
Australia,16495.37,424,38.9
UK,6530.73,215,30.38
Australia,12915.63,388,33.29
Canada,16425.05,375,43.8
Australia,6775.0,352,19.25
Canada,4553.78,237,19.21
USA,20895.19,482,43.35
UK,14822.36,318,46.61
New Zealand,3428.81,225,15.24
USA,2925.47,224,13.06
Canada,19444.09,452,43.02
UK,8591.2,176,48.81
UK,2289.16,167,13.71
UK,6384.11,265,24.09
USA,2747.98,115,23.9
Australia,6324.87,296,21.37
USA,4592.38,155,29.63
UK,5016.53,164,30.59
USA,636.78,43,14.81
India,2948.69,189,15.6
Canada,19971.42,463,43.13
Australia,8218.19,439,18.72
Canada,4964.03,225,22.06
Australia,7881.92,253,31.15
India,15267.53,321,47.56
USA,16343.94,485,33.7
USA,10904.55,236,46.21
USA,3205.0,81,39.57
New Zealand,5771.22,140,41.22
Australia,3977.2,80,49.71
New Zealand,8919.5,363,24.57
UK,23284.44,499,46.66
Australia,4260.44,103,41.36
India,7570.61,159,47.61
Australia,18742.38,469,39.96
UK,8787.8,249,35.29
New Zealand,16253.66,423,38.42
India,10789.63,436,24.75
Canada,841.52,27,31.17
UK,5926.16,152,38.99
Australia,7066.65,221,31.98
New Zealand,11533.13,427,27.01
Australia,6390.52,146,43.77
USA,444.44,15,29.63
New Zealand,7220.46,171,42.22
Canada,3490.94,120,29.09
Canada,7408.06,168,44.1
Canada,4111.71,175,23.5
India,3823.54,269,14.21
Australia,4542.86,186,24.42
UK,527.39,11,47.94
USA,4013.93,124,32.37
Australia,593.94,38,15.63
UK,4318.42,175,24.68
USA,5293.89,144,36.76
USA,3165.41,181,17.49
USA,5212.22,224,23.27
UK,4320.88,211,20.48
UK,434.03,16,27.13
USA,15708.48,486,32.32
New Zealand,411.5,16,25.72
Australia,2124.81,101,21.04
Australia,984.79,32,30.77
New Zealand,13049.1,327,39.91
India,956.42,21,45.54
New Zealand,5712.21,337,16.95
India,6985.76,410,17.04
USA,10122.81,236,42.89
USA,4746.86,321,14.79
UK,365.6,18,20.31
New Zealand,9791.02,385,25.43
USA,6966.13,364,19.14
USA,14282.35,458,31.18
Canada,2735.77,73,37.48
Canada,5503.98,338,16.28
UK,10872.5,351,30.98
Australia,4158.5,286,14.54
Australia,23977.48,481,49.85
